ManufacturerName,DKPartNumber,ProductDescription,QuantityOnHand,AvailableOnOrder,ManfacturerPublicQuantity,UnitPrice,ManufacturerLeadWeeks,StandardPackage,MinimumOrderQuantity,Url,Packaging,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Failure Rate,Notification,Applications,Temperature Coefficient,Thickness (Max),Lead Style,Ratings
"{'Id': '399', 'Text': 'KEMET'}",399-11721-2-ND,CAP TANTALUM 33UF 50V 2917,26000,0,0,2.352,14 weeks,500,500,www.digikey.com/product-detail/en/kemet/T521X336M050ATE075/399-11721-2-ND/5131703,Tape & Reel (TR),Active,33µF,±20%,50V,Molded,75 mOhm @ 100kHz,-55°C ~ 125°C,2000 Hrs @ 125°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.169"" (4.30mm)",-,X,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4656-2-ND,CAP TANT POLY 330UF 4V 2917,0,4000,0,0.95256,22 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V337M004ATE007/399-4656-2-ND/992047,Tape & Reel (TR),Active,330µF,±20%,4V,Molded,7 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-12349-2-ND,CAP TANT POLY 47UF 6.3V 3528,0,0,0,0.4557,5 weeks,3000,3000,www.digikey.com/product-detail/en/kemet/T525T476M006ATE080/399-12349-2-ND/5452627,Tape & Reel (TR),Active,47µF,±20%,6.3V,Molded,80 mOhm @ 100kHz,-55°C ~ 125°C,-,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.047"" (1.20mm)",-,T,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-11716-2-ND,CAP TANTALUM 33UF 16V 2917,1000,0,0,0.8379,14 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T521Q336M016ATE040/399-11716-2-ND/5131698,Tape & Reel (TR),Active,33µF,±20%,16V,Molded,40 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.047"" (1.20mm)",-,Q,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4708-2-ND,CAP TANT POLY 47UF 2.5V 1206,0,0,0,0.20475,5 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T520A476M2R5ATE090/399-4708-2-ND/1001007,Tape & Reel (TR),Active,47µF,±20%,2.5V,Molded,90 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4105-2-ND,CAP TANT POLY 330UF 2.5V 2917,0,29000,0,0.5481,21 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V337M2R5ATE025/399-4105-2-ND/818966,Tape & Reel (TR),Active,330µF,±20%,2.5V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-13356-2-ND,CAP TANT POLY 10UF 10% 50V 7343,0,0,0,6.237,18 weeks,100,100,www.digikey.com/product-detail/en/kemet/T543D106K050AHW100D100/399-13356-2-ND/6100166,Tape & Reel (TR),Active,10µF,±10%,50V,Molded,100 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,High Reliability,,,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-12332-2-ND,CAP TANT POLY 82UF 4V 2312,1500,0,0,0.55336,10 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520C826M008ATE025/399-12332-2-ND/5452610,Tape & Reel (TR),Active,82µF,±20%,8V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-16053-2-ND,CAP TANT POLY 330UF 2.5V 2917,1000,0,0,0.93912,30 weeks,500,500,www.digikey.com/product-detail/en/kemet/T591D337M2R5ATE018/399-16053-2-ND/7605124,Tape & Reel (TR),Active,330µF,±20%,2.5V,Molded,18 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-10358-2-ND,CAP TANT POLY 150UF 16V 2917,0,16500,0,3.6015,16 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520X157M016ATE040/399-10358-2-ND/3760633,Tape & Reel (TR),Active,150µF,±20%,16V,Molded,40 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.169"" (4.30mm)",-,X,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-16045-2-ND,CAP TANT POLY 150UF 16V 2917,0,500,0,0.9282,29 weeks,500,500,www.digikey.com/product-detail/en/kemet/T591D157M016ATE065/399-16045-2-ND/7605116,Tape & Reel (TR),Active,150µF,±20%,16V,Molded,65 mOhm @ 100kHz,-55°C ~ 125°C,1000 Hrs @ 125°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
